source,target,traffic,time,weight,dist
Aeropuerto Internacional El Dorado,Unicentro Bogotá Centro Comercial,0.0,0.47534904013961604,0.8877135379123585,0.4123644977727425
Aeropuerto Internacional El Dorado,Universidad Del Rosario,0.0,0.35340314136125656,0.7102793161430367,0.35687617478178024
Aeropuerto Internacional El Dorado,Clinica Santa Fé,0.0,0.4775305410122164,0.9739901027703337,0.4964595617581173
Aeropuerto Internacional El Dorado,Hospital Universitario San Ignacio,0.0,0.3540575916230366,0.7300650072318633,0.3760074156088266
Aeropuerto Internacional El Dorado,Drogueria Colsubsidio Usaquen,0.0,0.4674956369982548,0.9633887286376708,0.49589309163941603
Aeropuerto Internacional El Dorado,El Cubo Colsubsidio,0.0,0.28424956369982546,0.597790774400961,0.3135412107011355
Aeropuerto Internacional El Dorado,Clinica del Country,0.0,0.43782722513089006,0.8220227088191255,0.3841954836882355
Aeropuerto Internacional El Dorado,Los Cobos Medical Center,0.0,0.48342059336823734,1.0115509844901056,0.5281303911218683
Aeropuerto Internacional El Dorado,Centro de Salud el Carmen,0.0,0.44960732984293195,0.9146278000131305,0.46502047017019854
Aeropuerto Internacional El Dorado,Hospital de Kennedy,0.0,0.3959424083769634,0.7175686925904712,0.32162628421350775
Aeropuerto Internacional El Dorado,Hospital de Suba,0.0,0.4851657940663176,0.9388053645789731,0.45363957051265547
Aeropuerto Internacional El Dorado,Clinica Santa Maria del Lago,0.0,0.299956369982548,0.5573397930069834,0.25738342302443545
Aeropuerto Internacional El Dorado,Clinica Universitaria de Colombia,0.0,0.2174956369982548,0.4180260590184932,0.20053042202023844
Aeropuerto Internacional El Dorado,Universidad Nacional de Colombia,0.0,0.24236474694589877,0.4998254158956117,0.2574606689497129
Aeropuerto Internacional El Dorado,Universidad de los Andes,0.0,0.34554973821989526,0.7119271618108008,0.3663774235909056
Aeropuerto Internacional El Dorado,Centro comercial Mazuren,0.0,0.5143979057591623,0.9604673755946285,0.4460694698354662
Aeropuerto Internacional El Dorado,Compensar Autopista Sur,0.0,0.49345549738219896,0.9255434547424481,0.43208795736024924
Aeropuerto Internacional El Dorado,Universidad Javeriana,0.0,0.33856893542757416,0.7108427979813244,0.3722738625537503
Aeropuerto Internacional El Dorado,Clinica Del Bosque,0.0,0.5037085514834206,1.0464384224827254,0.5427298709993048
Aeropuerto Internacional El Dorado,Fundacion Cardio Infantil,0.0,0.5929319371727748,1.134503119292918,0.5415711821201432
Aeropuerto Internacional El Dorado,Clinica de Marly,0.0,0.3470767888307155,0.6720503964729123,0.32497360764219685
Aeropuerto Internacional El Dorado,Clinica Reina Sofia,0.0,0.4594240837696335,0.863574764821208,0.40415068105157453
Aeropuerto Internacional El Dorado,Centro Comercial Centro Mayor,0.0,0.387652705061082,0.8200753947642001,0.43242268970311815
Aeropuerto Internacional El Dorado,Centro Comercial Santafé,0.0,0.6407068062827225,1.230067467507843,0.5893606612251204
Aeropuerto Internacional El Dorado,Centro Comercial Gran Estación,0.2314460596786534,0.22425828970331588,0.6489994030678874,0.19329505368591807
Aeropuerto Internacional El Dorado,Centro Comercial Andino,0.0,0.47469458987783597,0.9163095446889697,0.4416149548111337
Aeropuerto Internacional El Dorado,Plaza de las Americas,0.0,0.3586387434554974,0.6650733290311083,0.3064345855756109
Aeropuerto Internacional El Dorado,Centro Comercial Bulevar Niza,0.0,0.37783595113438045,0.7095042056339556,0.33166825449957515
Aeropuerto Internacional El Dorado,Galerias Centro Comercial,0.0,0.3023560209424084,0.6037438727332265,0.30138785179081806
Aeropuerto Internacional El Dorado,Clinica Cafam,0.0,0.31326352530541013,0.6284526490791311,0.31518912377372094
Aeropuerto Internacional El Dorado,Clinica del Occidente,0.0,0.3075916230366492,0.5829990952924877,0.2754074722558385
Aeropuerto Internacional El Dorado,Terminal del Norte,0.0,0.5700261780104712,1.137629236949112,0.5676030589386409
Aeropuerto Internacional El Dorado,Terminal Salitre,0.0,0.18368237347294938,0.35375215229211665,0.1700697788191673
Aeropuerto Internacional El Dorado,Terminal del sur,0.0,0.5034904013961605,0.9437921754775778,0.4403017740814172
Aeropuerto Internacional El Dorado,Hospital Militar Central,0.0,0.3830715532286213,0.7221296679130718,0.3390581146844504
Aeropuerto Internacional El Dorado,Clinica Colombia,0.0,0.21051483420593367,0.4037841392500926,0.19326930504415893
Aeropuerto Internacional El Dorado,Hospital San Jose,0.08033664881407804,0.40684991273996507,0.8830976772426904,0.3959111156886474
Aeropuerto Internacional El Dorado,Centro Comercial Titan Plaza,0.0,0.28294066317626526,0.5369252654884933,0.253984602312228
Aeropuerto Internacional El Dorado,Centro Comercial el Edén,0.0,0.2318935427574171,0.4521474243651623,0.2202538816077452
Aeropuerto Internacional El Dorado,Centro Comercial Palatino,0.0,0.5316317626527051,1.0903515401844404,0.5587197775317352
Aeropuerto Internacional El Dorado,Centro Comercial Hayuelos,0.1090283091048202,0.2268760907504363,0.48053452061638635,0.14463012076112985
Aeropuerto Internacional El Dorado,Compensar Avenida 68,0.0,0.30257417102966844,0.6186387486232003,0.31606457759353196
Aeropuerto Internacional El Dorado,Compensar Calle 220,0.0,0.6559773123909249,1.3377241002478655,0.6817467878569405
Aeropuerto Internacional El Dorado,Cafam Floresta,0.0,0.34794938917975565,0.6537917559949061,0.3058423668151505
Aeropuerto Internacional El Dorado,Cafam Club Norte,0.0,0.7020069808027923,1.3835735281674189,0.6815665473646265
Aeropuerto Internacional El Dorado,Hospital de Bosa,0.0,0.5148342059336823,0.9043596584660613,0.3895254525323789
Aeropuerto Internacional El Dorado,Hospital La Misericordia,0.0,0.40445026178010474,0.8073907566689993,0.4029404948888946
Aeropuerto Internacional El Dorado,Centro Comercial Portal 80,0.0,0.3531849912739965,0.6892562635143857,0.3360712722403893
